date,value
2025-01-01,102.48357076505616
2025-01-02,107.40171859354965
2025-01-03,113.53717236177225
2025-01-04,112.77816249739153
2025-01-05,95.58929683410884
2025-01-06,90.45366246706224
2025-01-07,101.72610090120831
2025-01-08,105.76025056884146
2025-01-09,107.66874509280774
2025-01-10,114.93460681227553
2025-01-11,104.76900167436602
2025-01-12,96.35449186295119
2025-01-13,94.75723553271524
2025-01-14,86.18671252345929
2025-01-15,95.22156468358868
2025-01-16,109.12775629935454
2025-01-17,109.08072791575051
2025-01-18,110.58040372448161
2025-01-19,96.06609717627332
2025-01-20,88.40898259128552
2025-01-21,105.00443451443296
2025-01-22,104.64034926679808
2025-01-23,114.19991189207593
2025-01-24,108.94421950943226
2025-01-25,108.21033036195627
2025-01-26,103.08390742550563
2025-01-27,91.63861013392737
2025-01-28,101.47775768463049
2025-01-29,104.68911424271366
2025-01-30,114.32687904274687
2025-01-31,114.9825043024295
2025-02-01,122.1167118302038
2025-02-02,104.38488527634354
2025-02-03,94.02810029933633
2025-02-04,105.635069076495
2025-02-05,103.51116636552949
2025-02-06,118.75274268981396
2025-02-07,110.11576366725453
2025-02-08,108.13746758624387
2025-02-09,107.35975450245577
2025-02-10,104.9320647671698
2025-02-11,104.30226284500581
2025-02-12,110.96022012652033
2025-02-13,118.12598315992066
2025-02-14,114.44458125789322
2025-02-15,113.10225371183941
2025-02-16,105.99533139138813
2025-02-17,108.44841992136426
2025-02-18,107.08658980997518
2025-02-19,104.64633768472478
2025-02-20,123.174998407918
2025-02-21,121.83485673072568
2025-02-22,115.23994167536003
2025-02-23,113.27998361346835
2025-02-24,110.24088332582636
2025-02-25,111.94797588079079
2025-02-26,111.18852776850218
2025-02-27,121.93159360476487
2025-02-28,127.33966221290201
2025-03-01,125.42535423557861
2025-03-02,109.74880790311452
2025-03-03,106.08066775310444
2025-03-04,103.68297733825658
2025-03-05,111.32665918728893
2025-03-06,129.46336151906885
2025-03-07,134.3876221218152
2025-03-08,122.11065491514206
2025-03-09,119.08542050487796
2025-03-10,110.7402196847386
2025-03-11,107.91213035833802
2025-03-12,121.03774725831127
2025-03-13,135.01399216250465
2025-03-14,129.35036870648827
2025-03-15,132.21700072519076
2025-03-16,102.89210741804605
2025-03-17,114.9646290044535
2025-03-18,113.49604139563142
2025-03-19,119.65880940151686
2025-03-20,129.70569013592922
2025-03-21,121.51473125211047
2025-03-22,125.21849993001003
2025-03-23,119.6994727191305
2025-03-24,120.16766362936187
2025-03-25,112.3925318861493
2025-03-26,119.03445506245711
2025-03-27,128.661177958406
2025-03-28,137.95266333670224
2025-03-29,129.88369184057302
2025-03-30,117.18818576581354
2025-03-31,117.26760749429799
2025-04-01,117.39234764733462
2025-04-02,129.84322495266434
2025-04-03,129.5827746300188
2025-04-04,133.66041893827997
2025-04-05,128.20247244969065
2025-04-06,114.4424889670649
